Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Livestock,10101500
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Cats,10101501
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Dogs,10101502
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Mink,10101504
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Rats,10101505
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Horses,10101506
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Sheep,10101507
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Goats,10101508
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Asses,10101509
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Mice,10101510
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Swine,10101511
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Rabbits,10101512
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Guinea pigs,10101513
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Primates,10101514
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Armadillos,10101515
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Cattle,10101516
Live Plant and Animal Material and Accessories and Supplies,Live animals,Livestock,Camels,10101517
Live Plant and Animal Material and Accessories and Supplies,Live animals,Birds and fowl,Birds and fowl,10101600
Live Plant and Animal Material and Accessories and Supplies,Live animals,Birds and fowl,Live chickens,10101601
Live Plant and Animal Material and Accessories and Supplies,Live animals,Birds and fowl,Live ducks,10101602
Live Plant and Animal Material and Accessories and Supplies,Live animals,Birds and fowl,Live turkeys,10101603
Live Plant and Animal Material and Accessories and Supplies,Live animals,Birds and fowl,Live geese,10101604
Live Plant and Animal Material and Accessories and Supplies,Live animals,Birds and fowl,Live pheasants,10101605
Live Plant and Animal Material and Accessories and Supplies,Live animals,Live fish,Live fish,10101700
Live Plant and Animal Material and Accessories and Supplies,Live animals,Live fish,Live salmon,10101701
Live Plant and Animal Material and Accessories and Supplies,Live animals,Live fish,Live trout,10101702
Live Plant and Animal Material and Accessories and Supplies,Live animals,Live fish,Live talapia,10101703
Live Plant and Animal Material and Accessories and Supplies,Live animals,Live fish,Live carp,10101704
Live Plant and Animal Material and Accessories and Supplies,Live animals,Live fish,Live eels,10101705
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Shellfish and aquatic invertebrates,10101800
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Live shrimp,10101801
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Live clams,10101802
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Live mussels,10101803
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Live oysters,10101804
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Live crabs,10101805
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Live abalone,10101806
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Live octopi,10101807
Live Plant and Animal Material and Accessories and Supplies,Live animals,Shellfish and aquatic invertebrates,Live squid,10101808
Live Plant and Animal Material and Accessories and Supplies,Live animals,Insects,Insects,10101900
Live Plant and Animal Material and Accessories and Supplies,Live animals,Insects,Butterflies,10101901
Live Plant and Animal Material and Accessories and Supplies,Live animals,Insects,Beetles,10101902
Live Plant and Animal Material and Accessories and Supplies,Live animals,Insects,Bees,10101903
Live Plant and Animal Material and Accessories and Supplies,Live animals,Insects,Silkworms,10101904
Live Plant and Animal Material and Accessories and Supplies,Live animals,Wild animals,Wild animals,10102000
Live Plant and Animal Material and Accessories and Supplies,Live animals,Wild animals,Elephants,10102001
Live Plant and Animal Material and Accessories and Supplies,Live animals,Wild animals,Live foxes,10102002
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,,Domestic pet products,10110000
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,Domestic pet treatments and accessories and equipment,Domestic pet treatments and accessories and equipment,10111300
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,Domestic pet treatments and accessories and equipment,Pet toys,10111301
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,Domestic pet treatments and accessories and equipment,Pet grooming products,10111302
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,Domestic pet treatments and accessories and equipment,Pet litter or equipment for pet waste management,10111303
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,Domestic pet treatments and accessories and equipment,Pet food bowls or equipment,10111304
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,Domestic pet treatments and accessories and equipment,Medicated pet treatments,10111305
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,Domestic pet treatments and accessories and equipment,Domestic pet training kits,10111306
Live Plant and Animal Material and Accessories and Supplies,Domestic pet products,Domestic pet treatments and accessories and equipment,Pet blankets,10111307
Live Plant and Animal Material and Accessories and Supplies,Animal feed,,Animal feed,10120000
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Livestock feed,Livestock feed,10121500
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Livestock feed,Pure wheat bran,10121501
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Livestock feed,Feed oats,10121502
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Livestock feed,Feed corn,10121503
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Livestock feed,Feed sorghum,10121504
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Livestock feed,Hay,10121505
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Livestock feed,Oil cake,10121506
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Bird and fowl food,Bird and fowl food,10121600
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Bird and fowl food,Live food for birds,10121601
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Bird and fowl food,Bird seed,10121602
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Bird and fowl food,Bird treats or snacks,10121603
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Bird and fowl food,Poultry food,10121604
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Fish food,Fish food,10121700
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Fish food,Fresh or frozen brine,10121701
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Fish food,Fish food pellets,10121702
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Fish food,Fish food flakes,10121703
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Dog and cat food,Dog and cat food,10121800
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Dog and cat food,Dry food for dogs,10121801
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Dog and cat food,Moist food for dogs,10121802
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Dog and cat food,Milk for dogs or cats,10121803
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Dog and cat food,Dry food for cats,10121804
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Dog and cat food,Moist food for cats,10121805
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Dog and cat food,Treats or snacks for cats or dogs,10121806
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Rodent food,Rodent food,10121900
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Rodent food,Pelletized food for rodents,10121901
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Reptile food,Reptile food,10122000
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Reptile food,Pelletized food for reptiles,10122001
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Reptile food,Moist food for reptiles,10122002
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Reptile food,Live food for reptiles,10122003
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Miscellaneous animal food,Miscellaneous animal food,10122100
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Miscellaneous animal food,Pig food,10122101
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Miscellaneous animal food,Mink food,10122102
Live Plant and Animal Material and Accessories and Supplies,Animal feed,Miscellaneous animal food,Monkey food,10122103
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,,Animal containment and habitats,10130000
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal shelters,Animal shelters,10131500
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal shelters,Livestock stables,10131506
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal shelters,Domesticized pet houses,10131507
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal shelters,Pet beds,10131508
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal containment,Animal containment,10131600
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal containment,Cages or its accessories,10131601
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal containment,Kennels,10131602
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal containment,Animal carrying cases,10131603
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal containment,Dog runs,10131604
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal habitats,Animal habitats,10131700
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal habitats,Terrariums,10131701
Live Plant and Animal Material and Accessories and Supplies,Animal containment and habitats,Animal habitats,Aquariums,10131702
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,,Saddlery and harness goods,10140000
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Saddlery,Saddlery,10141500
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Saddlery,Saddles,10141501
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Saddlery,Whips,10141502
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Saddlery,Horseshoes,10141503
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Saddlery,Muleshoes,10141504
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Harness goods,10141600
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Bridles,10141601
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Yokes,10141602
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Horse bits,10141603
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Reins,10141604
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Stirrups,10141605
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Leashes or leads,10141606
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Animal collars,10141607
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Harnesses or its accessories,10141608
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Restraints,10141609
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Muzzles,10141610
Live Plant and Animal Material and Accessories and Supplies,Saddlery and harness goods,Harness goods,Leash holders,10141611
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,,Seeds and bulbs and seedlings and cuttings,10150000
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Vegetable seeds and seedlings,10151500
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Bean seeds or seedlings,10151501
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Carrot seeds or seedlings,10151502
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Celery seeds or seedlings,10151503
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Chili seeds or seedlings,10151504
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Courgette seeds or seedlings,10151505
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Pea seeds or seedlings,10151506
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Cucumber seeds or seedlings,10151507
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Eggplant seeds or seedlings,10151508
Live Plant and Animal Material and Accessories and Supplies,Seeds and bulbs and seedlings and cuttings,Vegetable seeds and seedlings,Endive seeds or seedlings,10151509
